0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
17246717,GGHB,170606.0,2017-06-06 08:25:00,1183-Trfc Collision-Unkn Inj,I580 W / I580 W Sr13 N Con,Oakland FSP,,,37.780935,-122.173268,4.0,1.0,53000.0,580.0,W,R39.086,55.0,,61.0
17266081,GGHB,170615.0,2017-06-15 08:08:00,1182-Trfc Collision-No Inj,I80 W / Powell St Ofr,Oakland FSP,,,37.842598,-122.297583,4.0,1.0,22594.0,80.0,W,4.09,9.4,,191.0
14625936,GGHB,140114.0,2014-01-14 08:14:00,1183-Trfc Collision-Unkn Inj,I80 W Gilman St Ofr / Gilman St,Oakland,,,37.878019,-122.307967,4.0,1.0,6000.0,80.0,W,,12.0,,77.0
14628089,GGHB,140115.0,2014-01-15 08:15:00,1182-Trfc Collision-No Inj,Us101 S Portrero Ave Ofr / Potrero Ave,GG,,,37.74985,-122.405494,4.0,75.0,67000.0,101.0,S,,431.3,,55.0
14640693,GGHB,140121.0,2014-01-21 08:31:00,1125-Traffic Hazard,Sr4 W / Sr4 W Somersville Rd Ofr,Contra Costa,,,38.003628,-121.836304,4.0,13.0,2252.0,4.0,W,,25.9,,69.0
14643533,GGHB,140122.0,2014-01-22 08:03:00,1125-Traffic Hazard,I580 W / I580 W Grand Ave Ofr,Oakland,,,37.8106,-122.248775,4.0,1.0,53000.0,580.0,W,,59.7,,67.0
15822443,GGHB,150709.0,2015-07-09 08:10:00,1183-Trfc Collision-Unkn Inj,I580 W / I580 W Benedict Dr N Onr,Castro Valley,,,37.733252,-122.139335,4.0,1.0,53000.0,580.0,W,,50.8,,232.0
15841101,GGHB,150718.0,2015-07-18 08:21:00,1183-Trfc Collision-Unkn Inj,I880 N / I880 N 98th Ave E Onr,Oakland,,,37.73255,-122.189129,4.0,1.0,53000.0,880.0,N,,35.0,,251.0
15845327,GGHB,150720.0,2015-07-20 08:07:00,1125-Traffic Hazard,I580 W / I580 W REDWOOD RD OFR,Hayward FSP,,,37.691012,-122.071062,4.0,1.0,,580.0,W,,45.4,,68.0
16869865,GGHB,161209.0,2016-12-09 07:26:00,1125-Traffic Hazard,I580 W / San Ramon Rd Ofr,Dublin,,,37.699601,-121.929534,4.0,1.0,57792.0,580.0,W,R21.268,37.3,,37.0
16880073,GGHB,161214.0,2016-12-14 07:23:00,1182-Trfc Collision-No Inj,I880 N / High St Ofr,Oakland,,,37.76333,-122.216187,4.0,1.0,53000.0,880.0,N,27.373,37.6,,32.0
16890234,GGHB,161218.0,2016-12-18 08:29:00,ANIMAL-Live or Dead Animal,I580 W / 150th Ave Onr,Castro Valley,,,37.711573,-122.127391,4.0,1.0,68084.0,580.0,W,R33.186,49.1,,105.0
16891966,GGHB,161219.0,2016-12-19 07:33:00,1179-Trfc Collision-1141 Enrt,Sr242 S I680 S Con / Gregory Ln Ofr,Contra Costa,,,37.956956,-122.053305,4.0,13.0,16000.0,242.0,S,L0.2,0.2,,167.0
15700308,GGHB,150508.0,2015-05-08 07:30:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Sr4 W Bailey Rd N Ofr,Contra Costa FSP,,,38.019101,-121.937152,4.0,13.0,,4.0,W,,20.036,,61.0
15700309,GGHB,150508.0,2015-05-08 07:28:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Sr4 W Bailey Rd N Ofr,Contra Costa,,,38.019101,-121.937152,4.0,13.0,,4.0,W,,20.036,,112.0
15934437,GGHB,150901.0,2015-09-01 08:53:00,1182-Trfc Collision-No Inj,I580 W / I580 W Redwood Rd Ofr,Hayward FSP,,,37.691012,-122.071062,4.0,1.0,,580.0,W,,45.4,,112.0
15938661,GGHB,150903.0,2015-09-03 07:56:00,1125-Traffic Hazard,I580 W / I580 W Harrison St Ofr,Oakland FSP,,,37.815854,-122.251271,4.0,1.0,53000.0,580.0,W,,60.1,,199.0
15946959,GGHB,150908.0,2015-09-08 07:16:00,CFIRE-Car Fire,Us101 S Cesar Chavez St Ofr / Cesar Chavez,San Francisco,,,37.749306,-122.404305,4.0,75.0,67000.0,101.0,S,,431.3,,38.0
15951755,GGHB,150910.0,2015-09-10 08:31:00,1182-Trfc Collision-No Inj,0 Us101 S Cesar Chavez St Ofr,San Francisco,,,37.751509,-122.403308,4.0,75.0,67000.0,101.0,S,,431.5,,204.0
15978896,GGHB,150923.0,2015-09-23 08:13:00,1125-Traffic Hazard,I880 N / I980,Oakland,,,37.799045,-122.276034,4.0,1.0,53000.0,880.0,N,,41.9,,91.0
15983206,GGHB,150925.0,2015-09-25 08:10:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Sr4 W Bailey Rd N Ofr,Contra Costa FSP,,,38.019101,-121.937152,4.0,13.0,,4.0,W,,20.036,,37.0
15983207,GGHB,150925.0,2015-09-25 08:09:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Sr4 W Bailey Rd N Ofr,Contra Costa,,,38.019101,-121.937152,4.0,13.0,,4.0,W,,20.036,,61.0
15989120,GGHB,150928.0,2015-09-28 07:28:00,1183-Trfc Collision-Unkn Inj,I580 W / I680 N I580 W Con,Dublin,,,37.700464,-121.92564,4.0,1.0,57792.0,580.0,W,,37.1,,96.0
